culture,sale_uid,sale_display_name
de_AT,de_AT423196,Ungarn / Budapest - Smart Hotel Budapest
de_AT,de_AT422922,Ägypten / Hurghada - Mercure Hurghada Red Sea
de_AT,de_AT422131,Griechenland / Halkidiki - Cora Hotel & Spa Resort 5*
de_AT,de_AT413434,Österreich / Tirol - Hotel Erika 4*
de_AT,de_AT422992,Kanaren / Gran Canaria - Bohemia Suites & Spa 5*
de_AT,de_AT423127,Italien / Sardinien - Arbatax Borgo Cala Moresca
de_AT,de_AT423107,Mexiko / Tulum - Secrets Tulum Resort & Beach Club 5*
de_AT,de_AT423217,Italien / Sizilien  - Terre di Eolo
de_AT,de_AT422841,Griechenland / Mykonos - PIETRA MARE MYKONOS MOMENTS
de_AT,de_AT422989,Großbritannien / London - InterContinental London - The O2 5*
de_AT,de_AT422925,Italien / Toskana  - Pian Dei Mucini
de_AT,de_AT423014,Italien / Kalabrien - Tonicello Resort & SPA
de_AT,de_AT423295,Griechenland / Kreta - Civitel Creta Beach 4*
de_AT,de_AT422941,"Bali / Ubud, Lombok & Sanur - Asvara Villa Ubud by Ini Vie Hospitality 5*, Royal Avila Boutique Resort Lombok 5*, Bali Beach Hotel Sanur 5*"
de_AT,de_AT423244,Italien / Ischia - Hotel San Giovanni Terme
de_AT,de_AT423060,Kombireise / Singapur & Malaysia - Rundreise in Eigenregie: Von der Metropole bis zu tropischen Stränden
de_AT,de_AT423045,Griechenland / in der Nähe des Olymp - Dion Palace Resort & Spa 5*
de_AT,de_AT423208,Kanada / Calgary - Residence Inn Calgary Downtown / Beltline District
de_AT,de_AT423078,Österreich / Wien - Lyf Schönbrunn Vienna 4*
de_AT,de_AT422919,USA / New York  - Hotel Hendricks 4*
de_AT,de_AT423058,Vereinigte Arabische Emirate / Dubai - Park Hyatt Dubai 5*
de_AT,de_AT423069,Spanien / Barcelona - Ohla Eixample
de_AT,de_AT422903,"Thailand / Phuket, Koh Yao Yai & Khao Lak - Radisson Suites Bangkok Sukhumvit, Hilton Garden Inn Phuket Bang Tao, Elixir Koh Yao Yai, Khaolak Bhandari Resort & Spa"
de_AT,de_AT423120,"Griechenland / Kreta - Isla Brown Chania Resort 5*, Curio Collection by Hilton"
